pdb,execution_time
pdb2i8l_A_hinge_2_sigma1.5.pdb,0.055751
pdb2i8l_A_hinge_1_sigma1.5.pdb,0.046078
pdb2i8l_A_hinge_3_sigma1.5.pdb,0.041759
pdb2i8l_A_hinge_3_sigma1.0.pdb,0.094066
pdb2i8l_A_hinge_2_sigma0.5.pdb,0.138981
pdb2i8l_A_hinge_4_sigma1.0.pdb,0.078822
pdb2i8l_A_hinge_6_sigma1.0.pdb,0.074431
pdb2i8l_A_hinge_1_sigma1.0.pdb,0.112467
pdb2i8l_A_hinge_4_sigma0.5.pdb,0.117788
pdb2i8l_A_hinge_3_sigma0.5.pdb,0.145642
pdb2i8l_A_hinge_6_sigma0.5.pdb,0.115081
pdb2i8l_A_hinge_2_sigma1.0.pdb,0.104754
pdb2i8l_A_hinge_5_sigma0.5.pdb,0.136327
pdb2i8l_A_hinge_5_sigma1.0.pdb,0.086711
pdb2i8l_A_hinge_6_sigma1.5.pdb,0.042928
pdb2w7h_A_hinge_9_sigma1.0.pdb,0.726795
pdb2w7h_A_hinge_2_sigma1.5.pdb,0.362507
pdb2w7h_A_hinge_10_sigma1.0.pdb,0.699606
pdb2w7h_A_hinge_4_sigma0.5.pdb,1.107151
pdb2w7h_A_hinge_0_sigma0.5.pdb,1.149448
pdb2w7h_A_hinge_7_sigma1.0.pdb,0.744596
pdb2w7h_A_hinge_0_sigma1.5.pdb,0.310773
pdb2w7h_A_hinge_2_sigma1.0.pdb,0.8059
pdb2w7h_A_hinge_6_sigma1.0.pdb,0.766943
pdb2w7h_A_hinge_5_sigma0.5.pdb,1.177107
pdb2w7h_A_hinge_10_sigma0.5.pdb,1.067459
pdb2w7h_A_hinge_5_sigma1.0.pdb,0.664257
pdb2w7h_A_hinge_8_sigma0.5.pdb,1.051425
pdb2w7h_A_hinge_3_sigma1.0.pdb,0.774341
pdb2w7h_A_hinge_4_sigma1.0.pdb,0.779443
pdb2w7h_A_hinge_6_sigma0.5.pdb,1.058619
pdb2w7h_A_hinge_9_sigma0.5.pdb,1.043889
pdb2w7h_A_hinge_3_sigma1.5.pdb,0.313453
pdb2w7h_A_hinge_9_sigma1.5.pdb,0.309314
pdb2w7h_A_hinge_1_sigma1.5.pdb,0.327913
pdb2w7h_A_hinge_1_sigma1.0.pdb,0.793334
pdb2w7h_A_hinge_4_sigma1.5.pdb,0.342386
pdb2w7h_A_hinge_6_sigma1.5.pdb,0.317351
pdb2w7h_A_hinge_0_sigma1.0.pdb,0.74773
pdb2w7h_A_hinge_8_sigma1.0.pdb,0.700838
pdb2w7h_A_hinge_3_sigma0.5.pdb,1.037694
pdb2w7h_A_hinge_7_sigma0.5.pdb,1.05554
pdb2w7h_A_hinge_8_sigma1.5.pdb,0.303894
pdb2w7h_A_hinge_5_sigma1.5.pdb,0.293982
pdb2w7h_A_hinge_2_sigma0.5.pdb,1.133116
pdb2w7h_A_hinge_7_sigma1.5.pdb,0.298035
pdb2w7h_A_hinge_1_sigma0.5.pdb,1.069359
