p_pdb,q_pdb,execution_time
6qcl_A,6hxn_A,0.0377919972
3hws_A,3hte_D,0.0329999961
3hws_A,3hws_B,0.24562287330627441
3hws_A,3hws_D,0.0311729982
3hws_A,3hws_E,0.0386800021
3hws_B,3hws_C,0.0368009992
3hws_A,3hte_A,0.13593268394470215
3hws_A,3hte_B,0.0419619977
3hws_C,3hte_C,0.031597998
3hws_A,3hte_E,0.0333560035
3hws_C,3hte_F,0.0270359963
2v1x_A,2wwy_A,0.31524109840393066
1qg4_A,1k5d_A,0.21108460426330566
1yyf_A,1yyf_B,0.0361949988
1im2_A,1qg4_A,0.021054998
1qg4_A,1rrp_A,0.14511895179748535
1g3i_A,1do2_B,0.0341650024
1iy0_A,4ww0_B,0.15041851997375488
1iy0_A,2cea_E,0.15192866325378418
1iy0_A,2cea_F,0.1423346996307373
1iy0_A,4ww0_A,0.14526629447937012
1iy0_A,4ww0_C,0.1775987148284912
1j3b_B,2pc9_B,0.0833439976
2i4i_A,5e7j_A,0.1550281047821045
4pxa_A,2i4i_A,0.18668174743652344
5e7i_A,2i4i_A,0.20208406448364258
5e7i_A,5e7j_A,0.1896684169769287
3tmi_A,4a2w_A,0.21300649642944336
5ooq_A,4u4c_A,0.20718026161193848
4qu4_A,4u4c_A,0.17421579360961914
5ooq_B,2xgj_A,0.18632912635803223
6ieg_A,6ieh_B,0.23513150215148926
4u4c_A,6ieg_A,0.28942370414733887
4u4c_A,6ieh_B,0.1439061164855957
5ooq_B,6ieh_B,0.19514107704162598
4qu4_A,6ieg_A,0.24848699569702148
4qu4_A,6ieh_B,0.3244626522064209
2xgj_B,4u4c_A,0.3299713134765625
4qu4_A,2xgj_A,0.4314713478088379
4qu4_A,2xgj_B,0.3310260772705078
4u4c_A,2xgj_A,0.11987543106079102
5ooq_B,4u4c_A,0.35732483863830566
2vso_A,2j0s_A,0.19496607780456543
2vso_A,2j0u_A,0.0422720015
1yrb_B,1yr6_A,0.0277139992
7wgm_A,6fcc_A,0.2745680809020996
1nh8_A,1nh7_A,0.08478474617004395
1i2d_B,1m8p_B,0.2866792678833008
1i2d_A,1m8p_A,0.29095005989074707
1aqt_A,1fs0_E,0.14647650718688965
2hld_C,1h8e_C,0.2202165126800537
1e79_E,1e79_D,0.036392998
2hld_E,1h8e_D,0.24536848068237305
2hld_E,1h8e_E,0.2739293575286865
2hld_E,2hld_F,0.20917391777038574
2hld_E,1h8e_F,0.20743489265441895
2hld_F,1h8e_E,0.2681255340576172
2hld_D,1h8e_E,0.18179845809936523
1w0j_E,1e1r_F,0.0478009991
1w0j_G,2jdi_G,0.0125159994
1h8e_E,1h8e_F,0.17963504791259766
1h8e_D,1h8e_F,0.063924998
1h8e_E,1e1q_E,0.2942993640899658
1h8e_E,1e1q_F,0.19760632514953613
1h8e_D,1h8e_E,0.20103764533996582
1h8e_E,1bmf_F,0.1765460968017578
1h8e_D,2jiz_L,0.0475099981
5ara_E,5ari_E,0.0244079977
5are_E,5fil_E,0.0223210044
5are_E,5ari_E,0.0214710012
5ara_D,5fik_D,0.024268996
5ara_E,5fik_E,0.0198320039
5fij_F,5fik_F,0.0331870019
5fij_E,5fik_E,0.1420753002166748
5fij_D,5fik_D,0.0278739966
5fil_D,5arh_D,0.0203769989
5fil_F,5arh_F,0.0225100033
5fil_E,5ara_E,0.0209969953
5fil_D,5ara_D,0.0246009976
5ara_F,5arh_F,0.0289919972
5ara_E,5arh_E,0.0208530016
1jdn_A,1jdp_A,0.2154247760772705
2dt5_A,3ikt_A,0.24956440925598145
1xcb_A,3ikt_A,0.2008674144744873
2dt5_A,3ikt_B,0.0229819994
1xcb_A,1xcb_B,0.019921001
5xwy_A,5xwp_A,0.18336224555969238
2hj9_A,1zhh_A,0.19109821319580078
1jx6_A,1zhh_A,0.0407520011
1zhh_A,2hje_A,0.14146041870117188
2hje_A,2hj9_A,0.09802103042602539
4pia_A,6fxo_A,0.0223620012
6fxo_A,6fxp_A,0.21007871627807617
4tnw_B,4tnv_B,0.23723578453063965
3rhw_A,4tnv_A,0.2153928279876709
4tnw_A,4tnv_A,0.2145853042602539
1ehk_A,2ify_A,0.33441805839538574
2ify_A,4my4_A,0.25793004035949707
1w8n_A,1eut_A,0.0614409968
1eut_A,1w8o_A,0.091358006
2bzd_A,2bzd_C,0.29096078872680664
1w8n_A,2bzd_A,0.0292089991
1eut_A,2ber_A,0.107076995
1bp1_A,2ewf_A,0.3013331890106201
1msw_D,1s76_D,0.24372124671936035
1qln_A,1msw_D,0.4285461902618408
1qln_A,1aro_P,0.3013796806335449
4o01_A,4o0p_A,0.2596418857574463
4q0j_A,5c5k_A,0.2653944492340088
