p_pdb,q_pdb,execution_time
3gqi_A,4xcu_A,0.755782
3gqi_A,5flf_E,0.584635
3gqi_A,6p69_B,0.689743
3gqi_A,3gql_C,0.632061
3gqi_A,6nvg_A,0.656685
3gqi_A,6nvl_B,0.550367
3gqi_A,5vnd_B,0.7201
3gqi_A,8e1x_B,0.72546
3gqi_A,5flf_C,0.742435
3gqi_A,4qqj_A,0.770923
3gqi_A,4qrc_A,0.798004
3gqi_A,4r6v_A,0.605662
3gqi_A,6nvh_A,0.620891
3gqi_A,7ybo_A,0.758457
3gqi_A,7wct_A,0.825994
3gqi_A,7vjl_B,0.604719
3gqi_A,7v29_A,0.764168
3gqi_A,7f3m_A,0.785947
3gqi_A,7dtz_A,0.816096
3gqi_A,6nvj_A,0.621729
3gqi_A,6nvk_A,0.610494
7dhl_A,8e1x_B,0.660393
3gqi_A,4qqt_A,0.734568
3gqi_A,7dhl_A,0.652395
3gqi_A,6pnx_B,0.719676
3gqi_A,6pnx_A,0.746127
3gqi_A,5am7_A,0.719439
3gqi_A,6c1o_B,0.597737
3gqi_A,6p68_C,0.678514
3gqi_A,6p68_B,0.686876
3gqi_A,3gql_B,0.662539
3gqi_A,7ybx_A,0.781961
3gqi_A,7wcw_A,0.795801
1w33_A,4bl4_A,0.826167
1w33_B,4bl4_B,0.800505
6vbu_1,6vbv_1,2.459928
1w61_A,1w62_B,0.777815
2v7b_A,4eat_A,1.676722
3fzn_A,1pi3_A,2.612344
4gm0_A,4mpp_A,2.718686
1bfd_A,4mpp_A,2.648634
4k9k_A,3fzn_A,2.630519
1bfd_A,4gm0_A,2.711487
1pi3_A,3f6b_X,2.698208
3fzn_A,2fwn_A,2.677135
3f6b_X,4mpp_A,2.711953
4gm0_A,5dgd_A,2.694387
1bfd_A,5dgd_A,2.747797
2fwn_A,4gm0_A,2.691419
1pi3_A,4gm0_A,2.738179
1bfd_A,1pi3_A,2.712925
1pi3_A,4gg1_A,2.756535
4gg1_A,4mpp_A,2.682133
2fwn_A,3f6b_X,2.651353
2fwn_A,4gg1_A,2.683242
1pi3_A,2fwn_A,2.724858
1bfd_A,4gg1_A,2.703765
4k9k_A,4mpp_A,2.724747
3f6b_X,5dgd_A,2.685265
4k9k_A,5dgd_A,2.676746
3f6b_X,4gm0_A,2.781377
3fzn_A,5dgd_A,2.649996
4yei_B,3du1_X,2.177724
6kr8_A,3p0g_A,2.064952
6kr8_A,3nya_A,3.059587
6kr8_A,3ny8_A,3.180552
1j6z_A,4cbx_A,1.145567
1j6z_A,3mfp_A,1.314145
1j6z_A,1sqk_A,1.169777
1nwk_A,1nmd_A,1.112689
1j6z_A,1t44_A,1.173
1j6z_A,8f8p_A,1.266453
1j6z_A,1lcu_A,1.221331
1j6z_A,1yvn_A,1.219712
1j6z_A,1nlv_A,1.186269
1j6z_A,2oan_A,1.193466
1j6z_A,2a5x_A,1.102905
1hlu_A,1mdu_E,1.206581
1nwk_A,2zwh_A,1.200376
1nwk_A,1d4x_A,1.135117
1j6z_A,6bno_C,1.233436
1j6z_A,2hf3_A,1.179691
1j6z_A,3j8a_A,1.268078
1hlu_A,1j6z_A,1.253323
1j6z_A,8iah_A,1.242411
1j6z_A,4a7n_A,1.326929
1j6z_A,1qz6_A,1.18403
1j6z_A,8d13_A,1.225133
1j6z_A,1c0f_A,1.182726
1j6z_A,2q36_A,1.277926
1j6z_A,3sjh_A,1.143803
1j6z_A,4b1v_A,1.258977
1j6z_A,3u8x_A,1.131455
1hlu_A,3daw_A,1.208729
1j6z_A,1yxq_A,1.139855
1j6z_A,2a41_A,1.193436
1nwk_A,1esv_A,1.11856
1j6z_A,2ff3_B,1.130612
1nwk_A,3mfp_A,1.206462
1j6z_A,3mn5_A,1.104988
1hlu_A,1nwk_A,1.138864
2btf_A,1nwk_A,1.160276
1veo_A,1j18_A,2.116115
1g4m_A,4jqi_A,1.38524
4jqi_A,3p2d_A,1.404064
